loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.6206,9.928685188293457,2.0000000000000003e-06,0.06535947712418301,10,,,,,,,,,,,,,
1.6259,8.726325035095215,4.000000000000001e-06,0.13071895424836602,20,,,,,,,,,,,,,
1.4955,8.187357902526855,6e-06,0.19607843137254902,30,,,,,,,,,,,,,
1.321,7.010787010192871,8.000000000000001e-06,0.26143790849673204,40,,,,,,,,,,,,,
1.1933,7.139481544494629,1e-05,0.32679738562091504,50,,,,,,,,,,,,,
0.9391,5.30399751663208,1.2e-05,0.39215686274509803,60,,,,,,,,,,,,,
0.8103,4.757746696472168,1.4000000000000001e-05,0.45751633986928103,70,,,,,,,,,,,,,
0.5367,3.7242743968963623,1.6000000000000003e-05,0.5228758169934641,80,,,,,,,,,,,,,
0.4549,2.96030330657959,1.8e-05,0.5882352941176471,90,,,,,,,,,,,,,
0.354,3.0947251319885254,2e-05,0.6535947712418301,100,,,,,,,,,,,,,
0.3121,4.457904815673828,2.2000000000000003e-05,0.7189542483660131,110,,,,,,,,,,,,,
0.2427,2.4944143295288086,2.4e-05,0.7843137254901961,120,,,,,,,,,,,,,
0.2388,3.4737460613250732,2.6000000000000002e-05,0.8496732026143791,130,,,,,,,,,,,,,
0.186,2.9857122898101807,2.8000000000000003e-05,0.9150326797385621,140,,,,,,,,,,,,,
0.2307,6.386322021484375,3e-05,0.9803921568627451,150,,,,,,,,,,,,,
,,,1.0,153,0.15890856087207794,0.96,0.9598594491710631,0.9604187381715342,0.96,159.2118,4.397,0.276,,,,,
0.1423,0.5714941024780273,3.2000000000000005e-05,1.0457516339869282,160,,,,,,,,,,,,,
0.1187,1.2891193628311157,3.4000000000000007e-05,1.1111111111111112,170,,,,,,,,,,,,,
0.0575,0.4494004547595978,3.6e-05,1.1764705882352942,180,,,,,,,,,,,,,
0.0837,0.49263978004455566,3.8e-05,1.2418300653594772,190,,,,,,,,,,,,,
0.0742,0.2767094671726227,4e-05,1.3071895424836601,200,,,,,,,,,,,,,
0.0891,4.286863327026367,4.2e-05,1.3725490196078431,210,,,,,,,,,,,,,
0.1501,8.093685150146484,4.4000000000000006e-05,1.4379084967320261,220,,,,,,,,,,,,,
0.0448,2.32853102684021,4.600000000000001e-05,1.5032679738562091,230,,,,,,,,,,,,,
0.1772,0.12376885861158371,4.8e-05,1.5686274509803921,240,,,,,,,,,,,,,
0.1407,4.679694175720215,5e-05,1.6339869281045751,250,,,,,,,,,,,,,
0.047,1.300765872001648,5.2000000000000004e-05,1.6993464052287581,260,,,,,,,,,,,,,
0.1091,0.12806560099124908,5.4000000000000005e-05,1.7647058823529411,270,,,,,,,,,,,,,
0.0798,2.4049952030181885,5.6000000000000006e-05,1.8300653594771243,280,,,,,,,,,,,,,
0.0631,0.15647293627262115,5.8e-05,1.8954248366013071,290,,,,,,,,,,,,,
0.2034,0.02929440140724182,6e-05,1.9607843137254903,300,,,,,,,,,,,,,
,,,2.0,306,0.14395922422409058,0.9542857142857143,0.9543573970948965,0.9560539885096211,0.9542857142857143,113.0047,6.194,0.389,,,,,
0.1199,0.18520499765872955,6.2e-05,2.026143790849673,310,,,,,,,,,,,,,
0.0565,1.2297667264938354,6.400000000000001e-05,2.0915032679738563,320,,,,,,,,,,,,,
0.0118,0.2068335860967636,6.6e-05,2.156862745098039,330,,,,,,,,,,,,,
0.0491,0.11998558789491653,6.800000000000001e-05,2.2222222222222223,340,,,,,,,,,,,,,
0.0142,0.05284186452627182,7e-05,2.287581699346405,350,,,,,,,,,,,,,
0.0375,0.09641406685113907,7.2e-05,2.3529411764705883,360,,,,,,,,,,,,,
0.1607,6.507222652435303,7.4e-05,2.418300653594771,370,,,,,,,,,,,,,
0.0951,3.269583225250244,7.6e-05,2.4836601307189543,380,,,,,,,,,,,,,
0.0319,0.24777403473854065,7.800000000000001e-05,2.549019607843137,390,,,,,,,,,,,,,
0.0536,8.067056655883789,8e-05,2.6143790849673203,400,,,,,,,,,,,,,
0.0996,10.831019401550293,8.2e-05,2.6797385620915035,410,,,,,,,,,,,,,
0.0871,3.154658555984497,8.4e-05,2.7450980392156863,420,,,,,,,,,,,,,
0.0689,2.5778095722198486,8.6e-05,2.810457516339869,430,,,,,,,,,,,,,
0.0428,0.7244855761528015,8.800000000000001e-05,2.8758169934640523,440,,,,,,,,,,,,,
0.0831,0.6398550271987915,9e-05,2.9411764705882355,450,,,,,,,,,,,,,
,,,3.0,459,0.15123693645000458,0.9542857142857143,0.9543822129177686,0.9559910272521639,0.9542857142857143,110.7721,6.319,0.397,,,,,
0.0742,0.07920768857002258,9.200000000000001e-05,3.0065359477124183,460,,,,,,,,,,,,,
0.0356,0.10962608456611633,9.4e-05,3.0718954248366015,470,,,,,,,,,,,,,
0.016,1.781521201133728,9.6e-05,3.1372549019607843,480,,,,,,,,,,,,,
0.0331,0.040549393743276596,9.8e-05,3.2026143790849675,490,,,,,,,,,,,,,
0.1096,3.4008419513702393,0.0001,3.2679738562091503,500,,,,,,,,,,,,,
0.1164,13.620347023010254,9.98220640569395e-05,3.3333333333333335,510,,,,,,,,,,,,,
0.0967,0.11250990629196167,9.964412811387901e-05,3.3986928104575163,520,,,,,,,,,,,,,
0.0631,0.4376775324344635,9.946619217081851e-05,3.4640522875816995,530,,,,,,,,,,,,,
0.0961,0.18087415397167206,9.928825622775802e-05,3.5294117647058822,540,,,,,,,,,,,,,
0.0179,1.7173247337341309,9.91103202846975e-05,3.5947712418300655,550,,,,,,,,,,,,,
0.0648,0.03827519714832306,9.893238434163702e-05,3.6601307189542482,560,,,,,,,,,,,,,
0.0104,1.616852879524231,9.875444839857651e-05,3.7254901960784315,570,,,,,,,,,,,,,
0.0769,6.709935188293457,9.857651245551602e-05,3.7908496732026142,580,,,,,,,,,,,,,
0.0474,0.03272707760334015,9.839857651245552e-05,3.8562091503267975,590,,,,,,,,,,,,,
0.1072,7.3106608390808105,9.822064056939502e-05,3.9215686274509802,600,,,,,,,,,,,,,
0.0664,7.6534576416015625,9.804270462633453e-05,3.9869281045751634,610,,,,,,,,,,,,,
,,,4.0,612,0.201720729470253,0.9585714285714285,0.9588202550661106,0.9605239687848384,0.9585714285714285,110.3729,6.342,0.399,,,,,
0.0675,4.994905948638916,9.786476868327403e-05,4.052287581699346,620,,,,,,,,,,,,,
0.0443,0.3315872251987457,9.768683274021354e-05,4.117647058823529,630,,,,,,,,,,,,,
0.0275,9.248397827148438,9.750889679715302e-05,4.183006535947713,640,,,,,,,,,,,,,
0.0086,0.017236296087503433,9.733096085409253e-05,4.248366013071895,650,,,,,,,,,,,,,
0.0455,0.19075459241867065,9.715302491103203e-05,4.313725490196078,660,,,,,,,,,,,,,
0.0099,0.004139218013733625,9.697508896797154e-05,4.379084967320262,670,,,,,,,,,,,,,
0.0183,0.004669070243835449,9.679715302491104e-05,4.444444444444445,680,,,,,,,,,,,,,
0.002,0.004104883875697851,9.661921708185055e-05,4.509803921568627,690,,,,,,,,,,,,,
0.0128,0.023820284754037857,9.644128113879004e-05,4.57516339869281,700,,,,,,,,,,,,,
0.0012,0.027214961126446724,9.626334519572954e-05,4.640522875816993,710,,,,,,,,,,,,,
0.0154,0.008649754337966442,9.608540925266905e-05,4.705882352941177,720,,,,,,,,,,,,,
0.0116,0.01889059878885746,9.590747330960854e-05,4.771241830065359,730,,,,,,,,,,,,,
0.0604,0.7606920599937439,9.572953736654805e-05,4.836601307189542,740,,,,,,,,,,,,,
0.0019,0.18138064444065094,9.555160142348754e-05,4.901960784313726,750,,,,,,,,,,,,,
0.0634,8.579962730407715,9.537366548042705e-05,4.967320261437909,760,,,,,,,,,,,,,
,,,5.0,765,0.15871381759643555,0.97,0.9700675553576522,0.970328519363384,0.97,109.1797,6.411,0.403,,,,,
0.0007,0.00915821548551321,9.519572953736655e-05,5.032679738562091,770,,,,,,,,,,,,,
0.0503,0.13949427008628845,9.501779359430606e-05,5.098039215686274,780,,,,,,,,,,,,,
0.075,0.1409839242696762,9.483985765124556e-05,5.163398692810458,790,,,,,,,,,,,,,
0.0233,0.10728553682565689,9.466192170818506e-05,5.228758169934641,800,,,,,,,,,,,,,
0.0108,0.025183841586112976,9.448398576512457e-05,5.294117647058823,810,,,,,,,,,,,,,
0.009,0.05772395431995392,9.430604982206405e-05,5.359477124183006,820,,,,,,,,,,,,,
0.0018,0.0033051767386496067,9.412811387900356e-05,5.42483660130719,830,,,,,,,,,,,,,
0.0105,1.1734707355499268,9.395017793594306e-05,5.490196078431373,840,,,,,,,,,,,,,
0.042,0.00416591065004468,9.377224199288257e-05,5.555555555555555,850,,,,,,,,,,,,,
