run,accuracy,macro_f1,precision_macro,recall_macro,num_test
v1.0_balanced_effb0_40ep,0.9943661971830986,0.9943660574766359,0.9944053208137715,0.9943661971830986,355
v1.0_balanced_vitbase_40ep,0.9943661971830986,0.9943659177701731,0.9944444444444445,0.9943661971830986,355
v1.0_imbalanced_effb0_40ep,0.6828087167070218,0.6581101173678985,0.7662334146866439,0.6753698026111818,413
v1.0_imbalanced_vitbase_40ep,0.9322033898305084,0.9230059499074781,0.9241510532271402,0.9238125093297509,413
