accuracy,loss,val_accuracy,val_loss
0.7743927836418152,0.7686057090759277,0.21075581014156342,1.784529209136963
0.8125,0.5512961149215698,0.0833333358168602,1.9258474111557007
0.9102511405944824,0.37614014744758606,0.3531976640224457,1.6080743074417114
1.0,0.15007677674293518,0.5,1.3221232891082764
0.9337176084518433,0.29230621457099915,0.6642441749572754,1.021484375
0.875,0.4092951714992523,0.75,0.6454629898071289
0.9485384821891785,0.25698861479759216,0.8430232405662537,0.5616859793663025
0.9375,0.21828411519527435,0.75,0.7065818905830383
0.9687113761901855,0.2069287747144699,0.9505813717842102,0.2850903272628784
1.0,0.1434645652770996,0.9166666865348816,0.19487547874450684
0.9674763083457947,0.19160157442092896,0.957848846912384,0.21331936120986938
1.0,0.12938594818115234,0.8333333134651184,0.3737603724002838
0.9699465036392212,0.1854349672794342,0.9767441749572754,0.17145900428295135
1.0,0.1087021753191948,0.8333333134651184,0.5633785724639893
0.9748867750167847,0.16748811304569244,0.9738371968269348,0.15988944470882416
0.9375,0.17530646920204163,1.0,0.1068490520119667
0.9802387952804565,0.1435258686542511,0.9752907156944275,0.15451480448246002
1.0,0.11852893233299255,1.0,0.13144555687904358
0.9810621738433838,0.1357860565185547,0.9811046719551086,0.14104057848453522
1.0,0.1020037829875946,1.0,0.11629658937454224
0.9781803488731384,0.1352432370185852,0.9723837375640869,0.16251400113105774
1.0,0.13187061250209808,1.0,0.13471241295337677
0.9802387952804565,0.12934346497058868,0.9781976938247681,0.13844981789588928
1.0,0.07851749658584595,0.8333333134651184,0.5206656455993652
0.9839439988136292,0.11206411570310593,0.9709302186965942,0.13654771447181702
1.0,0.06921445578336716,1.0,0.06963198632001877
0.9884726405143738,0.10251675546169281,0.9840116500854492,0.1201310083270073
1.0,0.07976154237985611,0.9166666865348816,0.18337476253509521
0.9872375726699829,0.10368030518293381,0.9738371968269348,0.13076286017894745
0.9375,0.1338668167591095,1.0,0.060217589139938354
0.9884726405143738,0.09214530140161514,0.9781976938247681,0.12526054680347443
1.0,0.06535624712705612,1.0,0.07931572198867798
0.9921778440475464,0.08618667721748352,0.9854651093482971,0.10916858166456223
1.0,0.057511668652296066,0.9166666865348816,0.6291698217391968
0.9884726405143738,0.08817766606807709,0.9840116500854492,0.11086806654930115
1.0,0.0757010281085968,1.0,0.04962100461125374
0.9917661547660828,0.07644138485193253,0.9781976938247681,0.11712801456451416
1.0,0.04909972846508026,0.9166666865348816,0.13002926111221313
0.9913544654846191,0.07441338896751404,0.9811046719551086,0.10938776284456253
1.0,0.04645383358001709,1.0,0.045230668038129807
