loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.4734,7.050538539886475,2.0000000000000003e-06,0.05555555555555555,10,,,,,,,,,,,,,
1.4212,7.5173516273498535,4.000000000000001e-06,0.1111111111111111,20,,,,,,,,,,,,,
1.1928,6.945293426513672,6e-06,0.16666666666666666,30,,,,,,,,,,,,,
1.1649,7.0834479331970215,8.000000000000001e-06,0.2222222222222222,40,,,,,,,,,,,,,
1.0344,8.15895938873291,1e-05,0.2777777777777778,50,,,,,,,,,,,,,
0.834,5.510014533996582,1.2e-05,0.3333333333333333,60,,,,,,,,,,,,,
0.7728,4.9051337242126465,1.4000000000000001e-05,0.3888888888888889,70,,,,,,,,,,,,,
0.6724,3.7906768321990967,1.6000000000000003e-05,0.4444444444444444,80,,,,,,,,,,,,,
0.6348,5.239076614379883,1.8e-05,0.5,90,,,,,,,,,,,,,
0.5449,4.964813232421875,2e-05,0.5555555555555556,100,,,,,,,,,,,,,
0.4407,1.6148992776870728,2.2000000000000003e-05,0.6111111111111112,110,,,,,,,,,,,,,
0.3879,5.076235771179199,2.4e-05,0.6666666666666666,120,,,,,,,,,,,,,
0.4579,3.8200533390045166,2.6000000000000002e-05,0.7222222222222222,130,,,,,,,,,,,,,
0.4062,2.094977855682373,2.8000000000000003e-05,0.7777777777777778,140,,,,,,,,,,,,,
0.4238,4.147265434265137,3e-05,0.8333333333333334,150,,,,,,,,,,,,,
0.3786,3.6206154823303223,3.2000000000000005e-05,0.8888888888888888,160,,,,,,,,,,,,,
0.439,4.704469680786133,3.4000000000000007e-05,0.9444444444444444,170,,,,,,,,,,,,,
0.3054,1.4060956239700317,3.6e-05,1.0,180,,,,,,,,,,,,,
,,,1.0,180,0.35225194692611694,0.8753056234718827,0.8747979301946099,0.8814791433604146,0.8753056234718827,170.8721,4.787,0.304,,,,,
0.3202,2.467970132827759,3.8e-05,1.0555555555555556,190,,,,,,,,,,,,,
0.2876,5.487375736236572,4e-05,1.1111111111111112,200,,,,,,,,,,,,,
0.2058,6.014065265655518,4.2e-05,1.1666666666666667,210,,,,,,,,,,,,,
0.3635,5.512066841125488,4.4000000000000006e-05,1.2222222222222223,220,,,,,,,,,,,,,
0.2554,5.0342512130737305,4.600000000000001e-05,1.2777777777777777,230,,,,,,,,,,,,,
0.273,6.074592590332031,4.8e-05,1.3333333333333333,240,,,,,,,,,,,,,
0.1377,1.774368166923523,5e-05,1.3888888888888888,250,,,,,,,,,,,,,
0.268,2.9005043506622314,5.2000000000000004e-05,1.4444444444444444,260,,,,,,,,,,,,,
0.2424,3.412658214569092,5.4000000000000005e-05,1.5,270,,,,,,,,,,,,,
0.1965,4.633073329925537,5.6000000000000006e-05,1.5555555555555556,280,,,,,,,,,,,,,
0.2551,6.0101542472839355,5.8e-05,1.6111111111111112,290,,,,,,,,,,,,,
0.3235,5.904644966125488,6e-05,1.6666666666666665,300,,,,,,,,,,,,,
0.1975,3.208413600921631,6.2e-05,1.7222222222222223,310,,,,,,,,,,,,,
0.1632,0.8845050930976868,6.400000000000001e-05,1.7777777777777777,320,,,,,,,,,,,,,
0.2951,6.320739269256592,6.6e-05,1.8333333333333335,330,,,,,,,,,,,,,
0.1426,3.039928436279297,6.800000000000001e-05,1.8888888888888888,340,,,,,,,,,,,,,
0.2427,5.51153039932251,7e-05,1.9444444444444444,350,,,,,,,,,,,,,
0.2071,8.406201362609863,7.2e-05,2.0,360,,,,,,,,,,,,,
,,,2.0,360,0.3860417604446411,0.8606356968215159,0.8570631975241654,0.8743655931318991,0.8606356968215159,136.1977,6.006,0.382,,,,,
0.1569,0.10909555852413177,7.4e-05,2.0555555555555554,370,,,,,,,,,,,,,
0.1124,3.050920009613037,7.6e-05,2.111111111111111,380,,,,,,,,,,,,,
0.1074,0.9516268372535706,7.800000000000001e-05,2.1666666666666665,390,,,,,,,,,,,,,
0.2004,1.7048550844192505,8e-05,2.2222222222222223,400,,,,,,,,,,,,,
0.1882,0.8316145539283752,8.2e-05,2.2777777777777777,410,,,,,,,,,,,,,
0.2197,3.951129674911499,8.4e-05,2.3333333333333335,420,,,,,,,,,,,,,
0.1991,0.2940618693828583,8.6e-05,2.388888888888889,430,,,,,,,,,,,,,
0.1897,6.593785762786865,8.800000000000001e-05,2.4444444444444446,440,,,,,,,,,,,,,
0.0761,1.4750149250030518,9e-05,2.5,450,,,,,,,,,,,,,
0.0911,1.0433210134506226,9.200000000000001e-05,2.5555555555555554,460,,,,,,,,,,,,,
0.2547,0.14483268558979034,9.4e-05,2.611111111111111,470,,,,,,,,,,,,,
0.1985,4.432348728179932,9.6e-05,2.6666666666666665,480,,,,,,,,,,,,,
0.1699,7.472529411315918,9.8e-05,2.7222222222222223,490,,,,,,,,,,,,,
0.1863,7.129249572753906,0.0001,2.7777777777777777,500,,,,,,,,,,,,,
0.1949,1.239566445350647,9.985074626865672e-05,2.8333333333333335,510,,,,,,,,,,,,,
0.1645,3.494936466217041,9.970149253731344e-05,2.888888888888889,520,,,,,,,,,,,,,
0.2119,5.851856708526611,9.955223880597015e-05,2.9444444444444446,530,,,,,,,,,,,,,
0.1146,0.0480758473277092,9.940298507462687e-05,3.0,540,,,,,,,,,,,,,
,,,3.0,540,0.260288268327713,0.91320293398533,0.9130855458938346,0.9174050441141578,0.91320293398533,135.6606,6.03,0.383,,,,,
